"key","source","context","cs","en","fr","de","ru","es-ES"
"TR_GET_ONE","Get one","Part of the sentence: Dont have a Trezor? Get one","","","","","",""
"TR_GO_TO_EXTERNAL_WALLET","Go to external wallet","","","","","","",""
"TR_GO_TO_SECURITY","Continue to backup","Button in security page (start security setup)","","","","","",""
"TR_HELP_TREZOR_SUITE","Help Trezor Suite get better","","","","","","",""
"TR_HELP_TREZOR_SUITE_TEXT_1","Help Trezor Suite become a better product by sending us {TR_HELP_TREZOR_SUITE_TEXT_1_FAT}.","","","","","","",""
"TR_HELP_TREZOR_SUITE_TEXT_1_FAT","anonymous analytics data.","","","","","","",""
"TR_HELP_TREZOR_SUITE_TEXT_2","Trezor Suite does NOT track any balance-related or personal data.","","","","","","",""
"TR_HIDE_ADVANCED_OPTIONS","Hide advanced options","Hide advanced sending form","","","","","",""
"TR_HIDE_WALLET","Hide wallet","","","","","","",""
"TR_HIDE_WALLET_EXPLANATION","Explanation what the 'hide wallet' button does","","","","","","",""
"TR_HOLOGRAM_STEP_ACTION_NOT_OK","My hologram looks different","Button to click when hologram looks different","","","","","",""
"TR_HOLOGRAM_STEP_ACTION_OK","My hologram is OK","Button to click in allright case","","","","","",""
"TR_HOLOGRAM_STEP_HEADING","Hologram check","Heading on hologram step page","","","","","",""
"TR_HOLOGRAM_STEP_SUBHEADING","Please make sure hologram protecting your device is authentic","Subheading on hologram step page","","","","","",""
"TR_HOW_PIN_WORKS","Not sure how PIN works?","","","","","","",""
"TR_I_UNDERSTAND_PASSPHRASE","I understand passphrase is not saved anywhere and can’t be restored.","","","","","","",""
"TR_IF_YOUR_DEVICE_IS_EVER_LOST","If you lose or damage the device, your funds will be lost.","","","","","","",""
"TR_IMPORTED_ACCOUNT_HASH","Imported account #{number}","Used in auto-generated label for imported accounts","","","","","",""
"TR_INCOMING","Incoming","","","","","","",""
"TR_INSTALL","Install","Install button","","","","","",""
"TR_INSTALLING","Do not disconnect your device. Installing","Message that is visible when installing process is in progress.","","","","","",""
"TR_INSTRUCTION_TO_SKIP","You should skip setup and continue to wallet and check if you have any funds on this device.","Instruction what to do when user knows the device he is holding was manipulated by him, not someone else.","","","","","",""
"TR_IS_NOT_NEW_DEVICE","According to your decision in a previous step, this was supposed to be a fresh device. But we were able to detect already installed firmware on it.","Just a message that we show after user selects that he wants to setup device as a new one but we detect that it apparently is not","","","","","",""
"TR_LABELING","Labeling","","","","","","",""
"TR_LANGUAGE","Language","","","","","","",""
"TR_LEARN_MORE","Learn more","Link to Trezor wiki.","","","","","",""
"TR_LEARN_MORE_ABOUT_LATEST_VERSION","Learn more about latest version in {TR_CHANGELOG}.","","","","","","",""
"TR_LEARN_MORE_LINK","Learn more.","Link to Trezor wiki.","","","","","",""
"TR_LEGACY_ACCOUNTS","Legacy accounts","","","","","","",""
"TR_LOADING_ACCOUNT","Loading account","","","","","","",""
"TR_LOADING_DEVICE_DOT_DOT_DOT","Loading device...","","","","","","",""
"TR_LOADING_OTHER_ACCOUNTS","Loading other accounts...","","","","","","",""
"TR_LOADING_TRANSACTIONS","Loading transactions","","","","","","",""
"TR_LOG","Log","application event and error","","","","","",""
"TR_LOOKING_FOR_QUICK_EASY","Looking for a quick & easy way to buy BTC? We got you covered.","","","","","","",""
"TR_LTC_ADDRESS_INFO","Litecoin changed the format of addresses. Find more info about how to convert your address on our blog. {TR_LEARN_MORE}","","","","","","",""
"TR_MARK_ALL_AS_READ","Mark all as read","","","","","","",""
"TR_MAXIMUM_LENGTH_IS_9_DIGITS","Maximum length is 9 digits.","","","","","","",""
"TR_MESSAGE","Message","Used as a label for message input field in Sign and Verify form","","","","","",""
"TR_MINED_TIME","Mined Time","","","","","","",""
"TR_MODEL_ONE","Model one","Name of Trezor model 1","","","","","",""
"TR_MODEL_T","Model T","Name of Trezor model T","","","","","",""
"TR_MORE_WORDS_TO_ENTER","{count} words to enter.","How many words will user need to enter before recovery is finished.","","","","","",""
"TR_NAV_RECEIVE","Receive","Title of the navigation tab that contains the account address","","","","","",""
"TR_NAV_SEND","Send","Title of the navigation tab that contains a form for sending funds","","","","","",""
"TR_NAV_SIGN_AND_VERIFY","Sign & Verify","Title of the navigation tab that contains a form for signing and verifying messages","","","","","",""
"TR_NAV_TRANSACTIONS","Transactions","Title of the navigation tab that contains tx history.","","","","","",""
"TR_NEM_WALLET","NEM wallet","","","","","","",""
"TR_NETWORK_BITCOIN","Bitcoin","","","","","","",""
"TR_NETWORK_BITCOIN_CASH","Bitcoin Cash","","","","","","",""
"TR_NETWORK_BITCOIN_GOLD","Bitcoin Gold","","","","","","",""
"TR_NETWORK_BITCOIN_TESTNET","Bitcoin Testnet","","","","","","",""
"TR_NETWORK_CARDANO","Cardano","","","","","","",""
"TR_NETWORK_DASH","Dash","","","","","","",""
"TR_NETWORK_DIGIBYTE","Digibyte","","","","","","",""
"TR_NETWORK_DOGECOIN","Dogecoin","","","","","","",""
"TR_NETWORK_ETHEREUM","Ethereum","","","","","","",""
"TR_NETWORK_ETHEREUM_CLASSIC","Ethereum Classic","","","","","","",""
"TR_NETWORK_ETHEREUM_TESTNET","Ethereum Testnet","","","","","","",""
"TR_NETWORK_LITECOIN","Litecoin","","","","","","",""
"TR_NETWORK_NAMECOIN","Namecoin","","","","","","",""
"TR_NETWORK_NEM","NEM","","","","","","",""
"TR_NETWORK_STELLAR","Stellar","","","","","","",""
"TR_NETWORK_TEZOS","Tezos","","","","","","",""
"TR_NETWORK_TYPE_LEGACY","legacy","","","","","","",""
"TR_NETWORK_TYPE_NORMAL","normal","","","","","","",""
"TR_NETWORK_TYPE_SEGWIT","segwit","","","","","","",""
"TR_NETWORK_UNKNOWN","unknown","","","","","","",""
"TR_NETWORK_VERTCOIN","Vertcoin","","","","","","",""
"TR_NETWORK_XRP","XRP","","","","","","",""
"TR_NETWORK_XRP_TESTNET","XRP Testnet","","","","","","",""
"TR_NETWORK_ZCASH","Zcash","","","","","","",""
"TR_NEW_COMMUNICATION_TOOL","New communication tool to facilitate the connection between your Trezor and your internet browser.","","","","","","",""
"TR_NEW_TREZOR_BRIDGE_IS_AVAILABLE","New Trezor Bridge is available.","","","","","","",""
"TR_NEW_TREZOR_FIRMWARE_IS_AVAILABLE_DOT","New Trezor firmware is available.","","","","","","",""
"TR_NO_PASSPHRASE_WALLET","No-passphrase wallet","","","","","","",""
"TR_NORTH","North","","","","","","",""
"TR_NUM_ACCOUNTS_FIAT_VALUE","{accountsCount} {accountsCount, plural, one {account} other {accounts}} • {fiatValue}","Used as title for a wallet instance in Switch Device modal","","","","","",""
"TR_OFFLINE","Offline","","","","","","",""
"TR_ONCE_YOU_SEND_OR_RECEIVE","Once you send or receive your first transaction it will show up here. Until then, wanna buy some crypto? Click the button below to begin your shopping spree!","","","","","","",""
"TR_ONLINE","Online","","","","","","",""
"TR_OOPS_SOMETHING_WENT_WRONG","Oops! Something went wrong!","","","","","","",""
"TR_OUTGOING","Outgoing","","","","","","",""
"TR_PACKAGING_LINK","here","Part of sentence TR_DID_YOU_PURCHASE. Link to support","","","","","",""
"PASSPHRASE_CASE_SENSITIVE","Note: Passphrase is case-sensitive.","","","","","","",""
"TR_PASSPHRASE_HIDDEN_WALLET","Passphrase (hidden) wallet","","","","","","",""
"TR_PASSPHRASE_TOO_LONG","The passphrase length has exceed the allowed limit.","","","","","","",""
"TR_PASSPHRASE_WALLET","Passphrase wallet","","","","","","",""
"TR_PENDING","Pending","Pending transaction with no confirmations","","","","","",""
"TR_PIN_ERROR_TROUBLESHOOT","Are you confused, how PIN works? You can always refer to our {TR_DOCUMENTATION}","Troubleshooting text after user enters second PIN incorrectly.","","","","","",""
"TR_PIN_HEADING_FIRST","Set new PIN","Heading in PIN page when entering PIN for the first time","","","","","",""
"TR_PIN_HEADING_MISMATCH","PIN mismatch","Heading in PIN page when PIN repeated incorrectly","","","","","",""
"TR_PIN_HEADING_REPEAT","Repeat PIN","Heading in PIN page when repeating PIN","","","","","",""
"TR_PIN_HEADING_SUCCESS","PIN enabled","Heading in PIN page when PIN set","","","","","",""
"TR_PIN_SET_SUCCESS","Purfect! Your device is now secured by pin.","Longer text indicating PIN was set succesfully.","","","","","",""
"TR_PIN_SUBHEADING","Protect device from unauthorized access by using a strong pin.","Subheading on PIN page","","","","","",""
"TR_PLEASE_ALLOW_YOUR_CAMERA","Please allow your camera to be able to scan a QR code.","","","","","","",""
"TR_PLEASE_CONNECT_YOUR_DEVICE","Please connect your device to continue with the verification process","","","","","","",""
"TR_PLEASE_DISABLE_PASSPHRASE","Please disable passphrase settings to continue with the verification process.","","","","","","",""
"TR_PLEASE_ENABLE_PASSPHRASE","Please enable passphrase settings to continue with the verification process.","","","","","","",""
"TR_PRIMARY_FIAT","Primary FIAT currency to display","","","","","","",""
"TR_RANDOM_SEED_WORDS_DISCLAIMER","Please note, that to maximaze security, your device will ask you to enter {count} fake words that are not part of your seed.","User is instructed to enter words from seed (backup) into the form in browser","","","","","",""
"TR_READ_MORE","Read more","","","","","","",""
"TR_RECEIVE","Receive","","","","","","",""
"TR_RECIPIENT_ADDRESS","Recipient address","","","","","","",""
"TR_RECONNECT_HEADER","Reconnect your device","","","","","","",""
"TR_RECONNECT_TEXT","We lost connection with your device. This might mean:","","","","","","",""
